,bootstrap,ccp_alpha,class_weight,criterion,max_depth,max_features,max_leaf_nodes,max_samples,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,n_jobs,oob_score,random_state,verbose,warm_start,score,best_parameters
0,False,0.0,,gini,,0.1,,,0.0,1,2,0.0,2,-1,False,42,0,False,0.7915714285714286,"{'n_estimators': 2, 'max_features': 0.1, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': False, 'criterion': 'gini', 'random_state': 42, 'n_jobs': -1}"
1,False,0.0,,entropy,,0.1,,,0.0,1,2,0.0,2,-1,False,42,0,False,0.8042857142857143,"{'n_estimators': 2, 'max_features': 0.1, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': False, 'criterion': 'entropy', 'random_state': 42, 'n_jobs': -1}"
2,True,0.0,,gini,,0.1,,,0.0,1,2,0.0,2,-1,False,42,0,False,0.7791428571428571,
3,True,0.0,,entropy,,0.1,,,0.0,1,2,0.0,2,-1,False,42,0,False,0.7838571428571428,
4,False,0.0,,gini,,0.1,,,0.0,3,2,0.0,2,-1,False,42,0,False,0.8175714285714286,"{'n_estimators': 2, 'max_features': 0.1, 'min_samples_split': 2, 'min_samples_leaf': 3, 'bootstrap': False, 'criterion': 'gini', 'random_state': 42, 'n_jobs': -1}"
5,False,0.0,,entropy,,0.1,,,0.0,3,2,0.0,2,-1,False,42,0,False,0.8202857142857143,"{'n_estimators': 2, 'max_features': 0.1, 'min_samples_split': 2, 'min_samples_leaf': 3, 'bootstrap': False, 'criterion': 'entropy', 'random_state': 42, 'n_jobs': -1}"
6,True,0.0,,gini,,0.1,,,0.0,3,2,0.0,2,-1,False,42,0,False,0.8214285714285714,"{'n_estimators': 2, 'max_features': 0.1, 'min_samples_split': 2, 'min_samples_leaf': 3, 'bootstrap': True, 'criterion': 'gini', 'random_state': 42, 'n_jobs': -1}"
7,True,0.0,,entropy,,0.1,,,0.0,3,2,0.0,2,-1,False,42,0,False,0.8122857142857143,
8,False,0.0,,gini,,0.1,,,0.0,5,2,0.0,2,-1,False,42,0,False,0.8297142857142857,"{'n_estimators': 2, 'max_features': 0.1, 'min_samples_split': 2, 'min_samples_leaf': 5, 'bootstrap': False, 'criterion': 'gini', 'random_state': 42, 'n_jobs': -1}"
9,False,0.0,,entropy,,0.1,,,0.0,5,2,0.0,2,-1,False,42,0,False,0.8274285714285714,
10,True,0.0,,gini,,0.1,,,0.0,5,2,0.0,2,-1,False,42,0,False,0.8172857142857143,
11,True,0.0,,entropy,,0.1,,,0.0,5,2,0.0,2,-1,False,42,0,False,0.825,
12,False,0.0,,gini,,0.1,,,0.0,7,2,0.0,2,-1,False,42,0,False,0.838,"{'n_estimators': 2, 'max_features': 0.1, 'min_samples_split': 2, 'min_samples_leaf': 7, 'bootstrap': False, 'criterion': 'gini', 'random_state': 42, 'n_jobs': -1}"
13,False,0.0,,entropy,,0.1,,,0.0,7,2,0.0,2,-1,False,42,0,False,0.8382857142857143,"{'n_estimators': 2, 'max_features': 0.1, 'min_samples_split': 2, 'min_samples_leaf': 7, 'bootstrap': False, 'criterion': 'entropy', 'random_state': 42, 'n_jobs': -1}"
14,True,0.0,,gini,,0.1,,,0.0,7,2,0.0,2,-1,False,42,0,False,0.8228571428571428,
